Category: All categories,,,,,
,,,,,
Week,League of Legends: (Worldwide),Dota 2: (Worldwide),Fortnite: (Worldwide),PlayerUnknown's Battlegrounds: (Worldwide),Counter-Strike: Global Offensive: (Worldwide)
9/6/2020,26,5,74,76,11
9/13/2020,26,5,72,53,11
9/20/2020,27,5,72,45,11
9/27/2020,31,4,65,41,11
10/4/2020,30,4,57,39,10
10/11/2020,31,5,60,37,11
10/18/2020,25,5,63,36,11
10/25/2020,33,5,64,38,12
11/1/2020,26,4,60,38,11
11/8/2020,31,5,60,46,12
11/15/2020,25,5,64,60,12
11/22/2020,24,5,62,49,13
11/29/2020,22,4,100,40,14
12/6/2020,24,5,75,38,14
12/13/2020,23,7,77,37,13
12/20/2020,23,5,81,38,14
12/27/2020,21,4,78,37,14
1/3/2021,23,5,61,36,14
1/10/2021,25,4,66,41,13
1/17/2021,26,5,71,38,14
1/24/2021,23,5,67,36,14
1/31/2021,25,4,64,34,14
2/7/2021,23,4,67,34,14
2/14/2021,23,5,66,35,14
2/21/2021,21,5,62,37,14
2/28/2021,21,4,65,35,14
3/7/2021,21,4,63,43,14
3/14/2021,21,4,84,35,13
3/21/2021,21,8,61,36,14
3/28/2021,27,10,65,35,13
4/4/2021,26,9,59,31,13
4/11/2021,27,7,57,35,13
4/18/2021,24,6,55,34,13
4/25/2021,23,5,58,34,13
5/2/2021,24,5,56,39,14
5/9/2021,24,5,53,49,12
5/16/2021,22,5,51,44,11
5/23/2021,22,5,54,37,11
5/30/2021,21,6,52,35,11
6/6/2021,21,7,64,35,10
6/13/2021,20,6,49,47,9
6/20/2021,21,6,52,39,9
6/27/2021,20,5,46,33,9
7/4/2021,22,6,43,35,10
7/11/2021,21,4,46,34,10
7/18/2021,22,4,50,29,10
7/25/2021,20,4,48,26,9
8/1/2021,20,4,55,25,9
8/8/2021,20,4,51,25,8
8/15/2021,19,5,48,24,9
8/22/2021,20,5,47,25,10
8/29/2021,24,6,55,26,10
